Address,Occupied,Vacant,Owned_Loan,Owned_Clear,Renter_Occupied,TotalVacant_HUnits,ForRent,Rented_NotOccupied,ForSale,Sold_NotOccupied,Occasional_Use,MigrantWorkers,OtherVacant,H_White,H_AfricanAmerican,H_AmerIndian_Alaska,H_Asian,H_Hawaiian_Pacific,H_OtherRace,H_TwoOrMore_Races,Pop_Occ_HUnits,H_1P,H_2P,H_3P,H_4P,H_5P,H_6P,H_7MP,Owner_Occupied,Owner_Child_U18,Owner_NoChild_U18,Renter_Occupied,Renter_Child_U18,Renter_NoChild_U18,VacancyStatus_A,VacancyStatus_NA
"100 block seeley av, Syracuse, NY",9,0,5,2,2,0,0,0,0,0,0,0,0,2,4,1,0,0,2,0,24,1,3,3,2,0,0,0,7,4,3,2,0,2,0,0
"100 block seneca dr, Syracuse, NY",15,0,8,4,3,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,33,2,9,3,1,0,0,0,12,3,9,3,0,3,0,0
"100 block seneca tpke e, Syracuse, NY",95,6,52,26,17,6,0,2,1,1,0,0,2,72,20,0,2,0,0,1,230,20,41,21,7,3,2,1,78,13,65,17,7,10,2,4
"100 block seneca tpke w, Syracuse, NY",793,44,32,29,732,44,33,1,4,0,2,0,4,406,127,4,222,0,14,20,1360,422,247,78,29,10,6,1,61,6,55,732,96,636,1,43
"100 block seventh north st, Syracuse, NY",38,3,18,10,10,3,0,0,0,0,1,0,2,35,2,0,1,0,0,0,90,11,14,6,4,1,2,0,28,4,24,10,3,7,0,3
"100 block seymour st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block shirley rd, Syracuse, NY",100,4,58,25,17,4,0,0,1,1,1,0,1,83,10,0,3,0,0,4,224,31,38,15,10,4,2,0,83,20,63,17,3,14,0,4
"100 block sidman av, Syracuse, NY",61,11,13,4,44,11,2,0,0,0,1,0,8,43,14,2,0,0,0,2,153,18,22,9,4,5,1,2,17,5,12,44,20,24,0,11
"100 block smith ln, Syracuse, NY",29,2,7,8,14,2,1,0,0,0,0,0,1,1,22,0,0,0,3,3,86,5,8,5,6,4,1,0,15,7,8,14,10,4,0,2
"100 block snell ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block solar st, Syracuse, NY",10,0,3,2,5,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,24,4,3,2,0,0,0,1,5,1,4,5,1,4,0,0
"100 block south av, Syracuse, NY",37,5,5,11,21,5,0,2,0,0,0,0,3,6,28,0,0,0,2,1,96,10,9,10,3,4,1,0,16,8,8,21,10,11,0,5
"100 block spring st, Syracuse, NY",72,5,10,5,57,5,0,0,3,0,0,0,2,42,11,0,14,0,3,2,237,14,20,10,10,6,7,5,15,5,10,57,29,28,0,5
"100 block st anne dr, Syracuse, NY",24,5,8,6,10,5,0,0,3,0,0,0,2,14,3,1,0,0,5,1,66,6,7,2,7,1,0,1,14,2,12,10,9,1,0,5
"100 block st louis av, Syracuse, NY",73,4,32,9,32,4,2,0,0,0,0,0,2,32,35,0,1,0,3,2,190,17,29,6,12,7,0,2,41,13,28,32,14,18,1,3
"100 block steuben st, Syracuse, NY",133,19,17,12,104,19,2,0,1,0,0,0,16,79,25,5,13,0,6,5,448,30,26,21,22,14,9,11,29,13,16,104,53,51,1,18
"100 block stewart ct, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block stinard av, Syracuse, NY",14,6,5,0,9,6,3,0,1,1,0,0,1,8,6,0,0,0,0,0,32,7,1,2,3,1,0,0,5,1,4,9,5,4,0,6
"100 block strathmore dr, Syracuse, NY",72,3,39,6,27,3,1,0,1,1,0,0,0,52,16,0,0,0,0,4,189,15,25,15,10,4,2,1,45,17,28,27,8,19,0,3
"100 block strong av, Syracuse, NY",14,1,11,3,0,1,0,0,0,0,0,0,1,10,3,0,0,0,1,0,31,4,5,3,2,0,0,0,14,3,11,0,0,0,0,1
"100 block sunrise dr, Syracuse, NY",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"100 block sunset av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block sunstruck dr, Syracuse, NY",41,12,7,4,30,12,3,0,0,0,0,0,9,29,8,1,0,0,0,3,112,14,7,6,6,6,2,0,11,2,9,30,17,13,0,12
"100 block syracuse st, Syracuse, NY",82,30,11,8,63,30,7,0,6,0,0,0,17,61,14,3,0,0,2,2,220,31,16,13,7,4,7,4,19,4,15,63,28,35,0,30
"100 block temple pl, Syracuse, NY",39,8,9,9,21,8,3,0,0,0,0,0,5,12,23,1,0,0,0,3,125,9,8,5,4,11,0,2,18,5,13,21,13,8,0,8
"100 block tennyson av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block titus al, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block townsend pl n, Syracuse, NY",3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,3,0,3,0,0
"100 block townsend pl, Syracuse, NY",16,10,3,0,13,10,6,0,0,0,0,0,4,5,5,0,5,0,0,1,78,2,2,0,2,6,1,3,3,0,3,13,12,1,0,10
"100 block tracy st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block trinity pl, Syracuse, NY",27,0,12,3,12,0,0,0,0,0,0,0,0,14,9,1,0,0,2,1,82,5,7,6,3,3,3,0,15,5,10,12,7,5,0,0
"100 block vale st, Syracuse, NY",49,13,26,8,15,13,4,0,0,0,0,0,9,8,37,0,3,0,1,0,146,8,15,9,9,4,3,1,34,13,21,15,13,2,1,12
"100 block valley dr, Syracuse, NY",13,8,1,0,12,8,1,0,1,0,0,0,6,4,9,0,0,0,0,0,47,2,3,1,2,3,1,1,1,1,0,12,8,4,1,7
"100 block van rensselaer st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block vann st, Syracuse, NY",24,4,10,5,9,4,0,0,1,0,0,0,3,20,4,0,0,0,0,0,65,5,8,6,2,2,0,1,15,5,10,9,2,7,0,4
"100 block victoria pl, Syracuse, NY",110,3,32,12,66,3,0,0,0,0,0,0,3,95,7,0,5,0,0,3,258,36,28,31,10,1,2,2,44,12,32,66,13,53,0,3
"100 block vincent st, Syracuse, NY",14,1,11,1,2,1,1,0,0,0,0,0,0,10,4,0,0,0,0,0,33,4,5,3,1,0,1,0,12,4,8,2,0,2,0,1
"100 block wadsworth st, Syracuse, NY",53,4,26,10,17,4,0,0,2,0,0,0,2,47,2,0,1,0,3,0,133,15,17,10,7,1,2,1,36,10,26,17,9,8,0,4
"100 block wall st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block walrath rd, Syracuse, NY",66,9,35,9,22,9,3,0,2,0,0,0,4,14,47,0,0,0,2,3,173,20,19,7,13,4,2,1,44,10,34,22,14,8,0,9
"100 block walton st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block warham st, Syracuse, NY",33,3,11,5,17,3,2,0,0,0,0,0,1,16,8,0,8,0,0,1,93,9,9,5,3,4,2,1,16,10,6,17,4,13,0,3
"100 block warrington av e, Syracuse, NY",47,3,30,10,7,3,1,0,0,1,0,0,1,33,11,1,0,0,0,2,122,8,20,10,3,4,2,0,40,11,29,7,2,5,0,3
"100 block washington sq, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block washington st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block washington st w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block water st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block wayne st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block weiser ct, Syracuse, NY",171,10,0,0,171,10,9,1,0,0,0,0,0,32,126,3,2,0,5,3,189,158,10,1,2,0,0,0,0,0,0,171,8,163,0,10
"100 block wellesley rd, Syracuse, NY",160,16,84,40,36,16,8,0,1,0,1,0,6,108,42,1,0,0,2,7,411,46,45,25,29,8,5,2,124,36,88,36,23,13,0,16
"100 block wendell ter, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block westminster av, Syracuse, NY",174,3,16,15,143,3,1,0,0,1,0,0,1,148,3,2,13,0,3,5,547,19,40,57,28,22,3,5,31,8,23,143,0,143,0,3
"100 block white st, Syracuse, NY",6,0,1,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,14,3,0,1,2,0,0,0,1,0,1,5,1,4,0,0
"100 block wilbur av n, Syracuse, NY",111,31,19,11,81,31,22,0,2,4,0,0,3,102,1,1,3,0,0,4,213,54,26,23,4,2,2,0,30,1,29,81,10,71,0,31
"100 block willis av, Syracuse, NY",76,9,19,9,48,9,7,0,0,1,0,0,1,72,2,2,0,0,0,0,138,37,24,10,3,1,1,0,28,5,23,48,8,40,0,9
"100 block wolf st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 block xavier cir, Syracuse, NY",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"1000 block adams st e, Syracuse, NY",166,45,48,13,105,45,24,0,1,0,0,0,20,137,22,2,0,0,3,2,404,54,45,35,16,8,5,3,61,13,48,105,36,69,1,44
"1000 block avery av, Syracuse, NY",140,31,30,29,81,31,11,0,4,2,1,0,13,124,6,4,0,0,3,3,316,55,39,24,12,5,2,3,59,11,48,81,30,51,0,31
"1000 block bellevue av, Syracuse, NY",120,15,43,22,55,15,2,0,4,3,0,0,6,60,48,0,2,0,6,4,319,25,39,26,17,9,3,1,65,22,43,55,25,30,0,15
"1000 block canal st, Syracuse, NY",77,10,10,8,59,10,6,0,0,0,0,0,4,37,32,3,0,0,1,4,222,19,21,11,12,9,1,4,18,5,13,59,29,30,0,10
"1000 block carbon st, Syracuse, NY",20,2,0,0,20,2,2,0,0,0,0,0,0,15,3,0,1,0,0,1,62,6,5,2,0,5,1,1,0,0,0,20,8,12,0,2
"1000 block clinton st s, Syracuse, NY",105,34,10,13,82,34,25,0,1,0,0,0,8,71,24,1,0,0,4,5,267,32,35,14,7,10,6,1,23,2,21,82,31,51,0,34
"1000 block court st, Syracuse, NY",46,3,22,11,13,3,0,0,0,0,0,0,3,41,2,0,1,0,0,2,100,17,20,4,1,1,1,2,33,5,28,13,5,8,0,3
"1000 block danforth st, Syracuse, NY",109,7,13,16,80,7,2,0,0,0,1,0,4,87,11,3,5,0,1,2,222,45,35,17,6,5,0,1,29,7,22,80,18,62,0,7
"1000 block emerson av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block erie blvd e, Syracuse, NY",41,6,5,7,29,6,5,0,0,0,0,0,1,24,9,1,3,0,1,3,121,8,16,4,5,5,0,3,12,4,8,29,12,17,0,6
"1000 block fayette st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block fayette st w, Syracuse, NY",31,10,9,3,19,10,4,0,0,1,2,0,3,8,9,0,0,0,10,4,77,15,5,2,4,3,1,1,12,7,5,19,5,14,1,9
"1000 block first north st, Syracuse, NY",120,16,30,14,76,16,9,0,2,0,1,0,4,88,16,1,6,0,1,8,262,50,30,23,9,6,1,1,44,13,31,76,22,54,0,16
"1000 block genesee st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block genesee st w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block genessee st w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block harrison st, Syracuse, NY",85,1,0,0,85,1,1,0,0,0,0,0,0,71,3,0,7,0,2,2,215,25,20,21,11,5,3,0,0,0,0,85,1,84,0,1
"1000 block highland av, Syracuse, NY",25,5,1,3,21,5,0,1,0,0,0,0,4,15,2,0,7,0,0,1,87,5,5,3,3,5,3,1,4,1,3,21,15,6,0,5
"1000 block highland st, Syracuse, NY",50,8,9,12,29,8,2,1,1,0,0,0,4,35,4,0,8,0,1,2,155,12,12,9,6,5,3,3,21,8,13,29,17,12,0,8
"1000 block irving av, Syracuse, NY",22,2,4,6,12,2,0,0,0,0,0,0,2,0,22,0,0,0,0,0,66,7,5,1,6,0,2,1,10,3,7,12,6,6,0,2
"1000 block ivy ridge rd, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block lancaster av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block madison st, Syracuse, NY",27,1,0,1,26,1,0,0,0,0,0,0,1,19,4,0,4,0,0,0,44,15,8,3,1,0,0,0,1,0,1,26,1,25,0,1
"1000 block mcbride st s, Syracuse, NY",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1000 block meadowbrook dr, Syracuse, NY",33,1,10,3,20,1,0,0,0,0,0,0,1,28,2,1,0,0,2,0,75,10,10,9,2,2,0,0,13,6,7,20,3,17,1,0
"1000 block midland av, Syracuse, NY",36,12,13,11,12,12,1,0,0,0,0,0,11,6,28,0,0,0,0,2,113,8,7,7,6,6,0,2,24,7,17,12,10,2,0,12
"1000 block milton av, Syracuse, NY",22,0,11,3,8,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,48,8,8,2,2,2,0,0,14,1,13,8,4,4,0,0
"1000 block oak st, Syracuse, NY",17,4,8,3,6,4,0,1,3,0,0,0,0,16,1,0,0,0,0,0,39,6,5,3,2,0,1,0,11,3,8,6,0,6,0,4
"1000 block park st, Syracuse, NY",45,6,3,4,38,6,2,0,0,0,2,0,2,32,9,1,1,0,1,1,104,23,5,6,7,2,0,2,7,4,3,38,14,24,0,6
"1000 block pond st, Syracuse, NY",131,6,38,15,78,6,2,0,0,0,0,0,4,107,13,4,2,0,2,3,294,54,35,17,12,10,1,2,53,14,39,78,21,57,0,6
"1000 block salina st s, Syracuse, NY",83,1,0,0,83,1,1,0,0,0,0,0,0,0,70,1,0,0,4,8,453,2,10,14,11,8,10,28,0,0,0,83,71,12,0,1
"1000 block state st n, Syracuse, NY",66,8,40,16,10,8,1,0,1,1,2,0,3,58,1,1,3,0,0,3,104,34,27,4,1,0,0,0,56,3,53,10,1,9,0,8
"1000 block teall av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block tyson pl, Syracuse, NY",24,0,10,12,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,52,4,14,4,2,0,0,0,22,3,19,2,0,2,0,0
"1000 block union pl, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block wadsworth st, Syracuse, NY",173,9,50,28,95,9,2,0,1,1,2,0,3,82,71,2,3,0,4,11,609,40,51,22,14,8,10,28,78,6,72,95,72,23,0,9
"1000 block walnut av, Syracuse, NY",136,0,0,0,136,0,0,0,0,0,0,0,0,85,4,0,44,0,1,2,284,71,15,27,13,10,0,0,0,0,0,136,2,134,0,0
"1000 block westcott st, Syracuse, NY",16,0,6,4,6,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,34,5,6,3,2,0,0,0,10,5,5,6,1,5,0,0
"1000 block westmoreland av, Syracuse, NY",152,0,6,4,142,0,0,0,0,0,0,0,0,101,4,0,44,0,1,2,318,76,21,30,15,10,0,0,10,5,5,142,3,139,0,0
"1000 block willis av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000 block wolf st, Syracuse, NY",434,50,162,102,170,50,14,6,4,0,0,0,26,340,42,2,40,0,4,6,1048,128,158,64,34,32,14,4,264,50,214,170,82,88,0,50
"1100 block avery av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block ballantyne rd, Syracuse, NY",434,50,162,102,170,50,14,6,4,0,0,0,26,340,42,2,40,0,4,6,1048,128,158,64,34,32,14,4,264,50,214,170,82,88,0,50
"1100 block bellevue av, Syracuse, NY",25,4,6,2,17,4,2,0,0,1,0,0,1,15,7,0,0,0,1,2,95,3,4,6,4,5,0,3,8,4,4,17,14,3,0,4
"1100 block carbon st, Syracuse, NY",32,2,9,1,22,2,1,0,0,0,0,0,1,27,3,0,2,0,0,0,77,11,11,4,2,0,4,0,10,4,6,22,5,17,0,2
"1100 block erie blvd e, Syracuse, NY",126,11,8,3,115,11,3,0,0,0,0,0,8,81,14,2,19,0,7,3,381,23,33,21,29,10,8,2,11,4,7,115,60,55,1,10
"1100 block erie blvd w, Syracuse, NY",126,11,8,3,115,11,3,0,0,0,0,0,8,81,14,2,19,0,7,3,381,23,33,21,29,10,8,2,11,4,7,115,60,55,1,10
"1100 block fayette st e, Syracuse, NY",54,6,0,1,53,6,3,1,0,0,0,0,2,39,6,0,7,0,0,2,96,28,13,11,1,1,0,0,1,0,1,53,0,53,0,6
"1100 block geddes st s, Syracuse, NY",67,11,7,7,53,11,3,7,0,1,0,0,0,23,28,1,0,0,11,4,216,15,10,15,15,5,4,3,14,7,7,53,32,21,0,11
"1100 block genesee st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block genesee st w, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block grant blvd, Syracuse, NY",18,2,4,3,11,2,0,1,0,1,0,0,0,16,2,0,0,0,0,0,33,7,7,4,0,0,0,0,7,2,5,11,2,9,0,2
"1100 block kirkpatrick st, Syracuse, NY",37,1,17,14,6,1,0,0,0,0,1,0,0,34,1,0,1,0,1,0,77,15,12,7,1,0,1,1,31,5,26,6,3,3,0,1
"1100 block lancaster av, Syracuse, NY",78,3,39,4,35,3,1,0,0,0,0,0,2,59,6,1,5,0,5,2,223,22,14,11,22,5,2,2,43,14,29,35,6,29,0,3
"1100 block madison st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block salina st s, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block salt springs rd, Syracuse, NY",35,0,26,5,4,0,0,0,0,0,0,0,0,18,16,1,0,0,0,0,83,7,14,8,6,0,0,0,31,7,24,4,4,0,0,0
"1100 block spring st, Syracuse, NY",60,6,4,5,51,6,2,1,0,0,0,0,3,30,19,0,8,0,0,3,155,22,12,10,7,5,3,1,9,2,7,51,21,30,0,6
"1100 block sunnycrest rd, Syracuse, NY",36,1,31,4,1,1,0,0,0,0,1,0,0,36,0,0,0,0,0,0,103,7,11,7,3,7,1,0,35,9,26,1,1,0,0,1
"1100 block teal av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block teall av, Syracuse, NY",79,7,25,8,46,7,3,0,1,1,1,0,1,68,8,1,0,0,0,2,187,29,20,15,5,7,3,0,33,10,23,46,16,30,0,7
"1100 block townsend st n, Syracuse, NY",208,38,4,11,193,38,31,0,0,0,0,0,7,149,35,1,21,0,0,2,430,125,34,13,15,5,10,6,15,1,14,193,37,156,0,38
"1100 block washington st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block westcott st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100 block willis av, Syracuse, NY",3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,3,1,2,0,0
"1100 block wolf st, Syracuse, NY",35,9,1,4,30,9,0,0,0,0,0,0,9,26,6,0,0,0,1,2,81,14,8,7,1,4,1,0,5,3,2,30,11,19,1,8
"1200 block almond st, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200 block bellevue av, Syracuse, NY",67,8,27,7,33,8,2,1,0,0,0,0,5,41,11,2,0,0,10,3,200,14,15,16,10,8,1,3,34,11,23,33,21,12,1,7
"1200 block burnet av, Syracuse, NY",11,1,1,4,6,1,0,0,0,0,0,0,1,10,0,1,0,0,0,0,20,5,5,0,0,1,0,0,5,1,4,6,1,5,0,1
"1200 block butternut st, Syracuse, NY",43,12,19,10,14,12,4,1,3,0,0,0,4,33,9,0,0,0,0,1,79,26,6,7,0,4,0,0,29,3,26,14,3,11,0,12
"1200 block fayette st e, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200 block first north st, Syracuse, NY",4,0,1,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,2,2,0,0,0,0,0,3,0,3,1,0,1,0,0
"1200 block genesee st e, Syracuse, NY",163,51,33,20,110,51,18,1,1,0,0,0,31,76,61,3,2,0,15,6,502,37,33,39,24,14,6,10,53,22,31,110,70,40,0,51
"1200 block genesee st w, Syracuse, NY",159,51,32,18,109,51,18,1,1,0,0,0,31,73,61,3,1,0,15,6,496,35,31,39,24,14,6,10,50,22,28,109,70,39,0,51
"1200 block grant blvd, Syracuse, NY",14,0,6,4,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,32,5,4,1,4,0,0,0,10,2,8,4,2,2,0,0
"1200 block highland st, Syracuse, NY",66,9,10,7,49,9,8,0,0,0,0,0,1,27,32,1,1,0,1,4,153,22,22,12,6,2,0,2,17,5,12,49,21,28,0,9
"1200 block ivy ridge rd, Syracuse, NY",24,0,2,2,20,0,0,0,0,0,0,0,0,13,9,0,0,0,0,2,49,12,6,2,2,1,1,0,4,1,3,20,4,16,0,0
"1200 block james st, Syracuse, NY",45,3,36,9,0,3,0,0,1,1,1,0,0,45,0,0,0,0,0,0,136,3,18,7,12,2,3,0,45,21,24,0,0,0,0,3
"1200 block midland av, Syracuse, NY",152,26,26,12,114,26,9,1,0,0,1,0,15,11,135,0,2,0,0,4,442,35,41,30,25,11,3,7,38,13,25,114,63,51,0,26
"1200 block milton av, Syracuse, NY",10,1,5,3,2,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,32,4,0,1,2,1,2,0,8,1,7,2,2,0,0,1
"1200 block onondaga st w, Syracuse, NY",22,0,5,2,15,0,0,0,0,0,0,0,0,13,7,0,0,0,0,2,67,5,5,4,3,2,3,0,7,1,6,15,13,2,0,0
"1200 block onondage st w, Syracuse, NY",80,7,19,9,52,7,1,0,1,0,3,0,2,40,29,1,1,0,7,2,231,21,18,16,12,4,6,3,28,8,20,52,30,22,3,4
"1200 block park st, Syracuse, NY",33,7,10,2,21,7,3,0,0,0,0,0,4,24,4,0,5,0,0,0,70,17,6,3,4,2,1,0,12,5,7,21,1,20,0,7
"1200 block salina st n, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200 block salina st s, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200 block salt springs rd, Syracuse, NY",34,4,19,8,7,4,1,0,1,0,0,0,2,14,18,0,0,0,0,2,88,10,8,7,5,3,1,0,27,8,19,7,3,4,0,4
"1200 block spring st, Syracuse, NY",23,1,1,9,13,1,0,0,0,0,0,0,1,20,0,0,1,0,1,1,60,7,10,1,1,1,1,2,10,0,10,13,5,8,0,1
"1200 block state st s, Syracuse, NY",53,2,13,3,37,2,0,0,0,0,0,0,2,10,43,0,0,0,0,0,154,9,15,13,9,5,0,2,16,6,10,37,29,8,0,2
"1200 block teall av, Syracuse, NY",52,2,30,10,12,2,0,0,0,0,1,0,1,42,3,2,2,0,1,2,110,17,24,3,5,2,1,0,40,8,32,12,4,8,0,2
"1200 block westcott st, Syracuse, NY",72,3,41,17,14,3,1,0,0,1,1,0,0,67,3,0,1,1,0,0,159,23,23,16,8,2,0,0,58,14,44,14,0,14,0,3
"1200 block willis av, Syracuse, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300 block adams st e, Syracuse, NY",41,0,0,0,41,0,0,0,0,0,0,0,0,33,2,0,6,0,0,0,150,3,7,12,9,3,3,4,0,0,0,41,0,41,0,0
"1300 block bellevue av, Syracuse, NY",92,8,38,17,37,8,2,0,1,0,0,0,5,53,30,1,1,0,4,3,247,21,35,15,10,5,1,5,55,13,42,37,20,17,0,8
